id,name,date,lat,lon,elev
384010,Fogo,2015 CE,14.95,-24.35,2829
384020,Brava,Unknown,14.8514,-24.7041,956
385030,Romanche Fracture Zone,Unknown,-0.433,-19.596,-1528
385050,Ascension,1508 CE,-7.95,-14.37,858
385052,Walvis Ridge at 33°S,2002 CE,-32.958,-5.22,-1200
386010,Tristan da Cunha,1962 CE,-37.092,-12.28,2060
386011,Nightingale Island,2004 CE,-37.42,-12.48,365
386020,Bouvet,50 BCE,-54.408,3.351,741
390010,Buckle Island,1899 CE,-66.78,163.25,1239
390011,Young Island,Unknown,-66.42,162.47,1340
390012,Sturge Island,Unknown,-67.4,164.83,1167
390013,Pleiades The,1050 BCE,-72.67,165.5,3040
390015,Melbourne,1892 CE,-74.35,164.7,2732
390016,Unnamed,Unknown,-76.83,163,-500
390017,Morning,Unknown,-78.5,163.53,2723
390020,Erebus,2024 CE,-77.53,167.17,3794
390021,Royal Society Range,Unknown,-78.25,163.33,3000
390022,Berlin,8350 BCE,-76.05,-136,3478
390023,Andrus,Unknown,-75.8,-132.33,2978
390027,Takahe,5550 BCE,-76.28,-112.08,3460
390028,Hudson Mountains,207 BCE,-74.33,-99.42,749
390030,Deception Island,1970 CE,-62.9567,-60.6367,602
390031,Penguin Island,1905 CE,-62.1,-57.93,180
390040,Bridgeman Island,Unknown,-62.063,-56.713,240
390041,Paulet,Unknown,-63.579,-55.78,353
390070,Southern Thule,1975 CE,-59.442,-27.225,1075
390080,Bristol Island,2016 CE,-59.017,-26.533,1100
390081,Montagu Island,2007 CE,-58.445,-26.374,1370
390090,Saunders,2024 CE,-57.8,-26.483,843
390100,Candlemas Island,1911 CE,-57.08,-26.67,550
390110,Hodson,Unknown,-56.712,-27.176,835
390120,Leskov Island,Unknown,-56.656,-28.14,190
390130,Zavodovski,2016 CE,-56.3,-27.57,551
390140,Protector Seamounts,1962 CE,-55.912,-28.167,-55
390829,Mount Haddington Volcanic Field,Unknown,-64.15,-57.75,1630
390847,Melville,Unknown,-62.02,-57.67,549
